event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PAK142046,"23 May 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Pakistan)",,"Political militia","Civilians (Pakistan)","PML-N: Pakistan Muslim League-Nawaz",Civilians,"Political militia-Civilians","Civilian targeting",586,"South Asia",Pakistan,Punjab,Muzaffargarh,"Kot Addu","Chowk Sarwar Shaheed",30.5808,71.2356,2,"Dawn (Pakistan)",National,"On 23 May 2024, unidentified armed men shot and injured a PML-N leader and his cousin at his outhouse in Chowk Sarwar Shaheed tehsil (Muzaffargarh, Sindh). No group has claimed responsibility for the attack.",0,,1721763518
PAK142220,"23 May 2024",2024,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","TTP: Tehreek-i-Taliban Pakistan",,"Rebel group","Civilians (Pakistan)",,Civilians,"Rebel group-Civilians","Civilian targeting",586,"South Asia",Pakistan,"Khyber Pakhtunkhwa","South Waziristan",Tiarza,Tiarza,32.3852,69.6735,2,"Dawn (Pakistan)",National,"On 23 May 2024, a boy was injured when an explosive device (likely landmine) planted by militants (coded as TTP) exploded in Laley Zhai area of Tiarza tehsil (South Waziristan, Khyber Pakhtunkhwa). 1 wounded.",0,,1731510654
PAK142023,"23 May 2024",2024,1,"Political violence",Battles,"Armed clash","BLA: Baloch Liberation Army",,"Rebel group","Military Forces of Pakistan (2022-)",,"State forces","State forces-Rebel group",,586,"South Asia",Pakistan,Balochistan,Kech,Kech,Kolwa,26.0349,64.2883,2,"Balochistan Post",Subnational,"On 23 May 2024, BLA militants opened fire at military personnel gathered around a vehicle near a camp in Rudkan locality of Kolwa area (Kech, Balochistan). BLA claim 2 military personnel were killed and 2 others were injured.",2,,1732047031
PAK142024,"22 May 2024",2024,1,"Political violence",Battles,"Armed clash","BLA: Baloch Liberation Army",,"Rebel group","Military Forces of Pakistan (2022-)",,"State forces","State forces-Rebel group",,586,"South Asia",Pakistan,Balochistan,Sibi,Sibi,Sibi,29.5511,67.8322,2,"Balochistan Post; Sangar Publication",Subnational,"On 22 May 2024, BLA militants attacked a military check post in Kurmwood area of Sibi tehsil (Sibi, Balochistan) using sniper and assault weapons. BLA claim at least two military personnel were wounded in the attack. 2 wounded.",0,,1716919070
PAK142031,"22 May 2024",2024,1,"Political violence",Battles,"Armed clash","TTP: Tehreek-i-Taliban Pakistan",,"Rebel group","Police Forces of Pakistan (2022-)",,"State forces","State forces-Rebel group",,586,"South Asia",Pakistan,"Khyber Pakhtunkhwa",Charsadda,Charsadda,Charsadda,34.1532,71.7066,2,"Khorasan Diary","New media","On 22 May 2024, assailants (coded as TTP) opened fire and wounded a police personnel on Mardan Road in Quaid Abad area of Charsadda tehsil (Charsada, Khyber Pakhtunkhwa). Police returned fire and wounded the assailant. The assailant was later arrested. 2 wounded.",0,,1716919070
PAK142032,"22 May 2024",2024,1,"Political violence",Battles,"Armed clash","TTP: Tehreek-i-Taliban Pakistan",,"Rebel group","Police Forces of Pakistan (2022-)",,"State forces","State forces-Rebel group",,586,"South Asia",Pakistan,Sindh,"Karachi City",,Karachi,24.9056,67.0822,1,"Khorasan Diary; South Asia Terrorism Portal","Other-New media","On 22 May 2024, assailants (likely TTP, due to actor targeted) opened fire and wounded a police personnel deployed for security at Radio Pakistan in Quaid Abad area of Karachi city (Karachi, Sindh). 1 wounded.",0,,1716919070
PAK142218,"22 May 2024",2024,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","BLA: Baloch Liberation Army",,"Rebel group","Civilians (Pakistan)","Labor Group (Pakistan)",Civilians,"Rebel group-Civilians","Civilian targeting",586,"South Asia",Pakistan,Balochistan,Kech,Buleda,Zamuran,26.4211,62.8977,2,"Balochistan Post; Sangar Publication",Subnational,"On 22 May 2024, BLA militants detonated explosives and destroyed a cellular company communication tower in Dashtak area of Zamuran tehsil (Kech, Balochistan). There were no casualties.",0,,1716919070
PAK146466,"22 May 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Pakistan)",,"Political militia","Civilians (Pakistan)",,Civilians,"Political militia-Civilians","Civilian targeting",586,"South Asia",Pakistan,"Khyber Pakhtunkhwa","North Waziristan","Mir Ali","Mir Ali",32.9705,70.2785,1,"Khorasan Diary","New media","On 22 May 2024, unidentified gunmen shot and killed a man near a mosque in Mir Ali district (North Waziristan, KPK) in a suspected target killing.",1,,1730913923
PAK142027,"22 May 2024",2024,1,"Political violence",Battles,"Armed clash","BLF: Baloch Liberation Front",,"Rebel group","Military Forces of Pakistan (2022-)",,"State forces","State forces-Rebel group",,586,"South Asia",Pakistan,Balochistan,Kech,Kech,Kolwa,26.0349,64.2883,2,"Balochistan Post",Subnational,"On 22 May 2024, BLF militants ambushed and attacked a four vehicle military convoy in Marastan locality of Kolwa area (Kech (Balochistan). Casualties unknown.",0,,1732047031
PAK142052,"22 May 2024",2024,1,"Political violence","Explosions/Remote violence",Grenade,"BLF: Baloch Liberation Front",,"Rebel group","Military Forces of Pakistan (2022-)",,"State forces","State forces-Rebel group",,586,"South Asia",Pakistan,Balochistan,Panjgur,Panjgur,Panjgur,26.9817,64.1166,2,"Balochistan Post",Subnational,"On 22 May 2024, BLF militants hurled a hand grenade towards a military check post in Chitkan Kalam Chowk area of Panjgur district (Panjgur, Balochistan). BLF claim 2 military personnel were wounded in the attack. 2 injured.",0,,1745445451
PAK142036,"21 May 2024",2024,1,"Political violence","Violence against civilians",Attack,"BLA: Baloch Liberation Army",,"Rebel group","Civilians (Pakistan)","Labor Group (Pakistan)",Civilians,"Rebel group-Civilians","Civilian targeting",586,"South Asia",Pakistan,Balochistan,Loralai,Duki,Duki,30.1531,68.5732,2,"Balochistan Post; Dawn (Pakistan); Khorasan Diary; Sangar Publication","New media-Subnational","On 21 May 2024, BLA militants opened fire and killed a truck driver and wounded three others in Sanjavi area of Pasara Tangi locality in Duki district (Duki, Balochistan) carrying coal from Balochistan to Punjab. The militants also fired upon and set the six loaded trucks carrying coal on fire. Three additional truck drivers remain missing (unclear if they were kidnapped). Baloch Separatists have continued to target drivers and commercial assets moving from Balochistan towards Punjab. 1 fatality and 3 wounded.",1,,1716919070
PAK142936,"21 May 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Pakistan)",,"Political militia","Civilians (Pakistan)","Journalists (Pakistan)",Civilians,"Political militia-Civilians","Civilian targeting",586,"South Asia",Pakistan,Sindh,Ghotki,"Mirpur Mathelo","Mirpur Mathelo",28.0205,69.5523,2,"News International (Pakistan)",National,"On 21 May 2024, 2 unidentified armed men, suspectedly working at the behest of a tribal leader, shot and killed a journalist near Korai Goth (coded as Mirpur Mathelo, Thatta, Sindh) for his reporting activities. He was associated with a Sindhi newspaper.",1,,1719939634
PAK142045,"21 May 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Pakistan)","LGBTQ+ (Pakistan)","Political militia","Civilians (Pakistan)","PTI: Pakistan Tehreek-i-Insaf",Civilians,"Political militia-Civilians","Civilian targeting",586,"South Asia",Pakistan,"Federal Capital Territory",Islamabad,Islamabad,Islamabad,33.7214,73.0432,1,"Nation (Pakistan)",National,"On 21 May 2024, a group of transgender persons attacked PTI member in Islamabad city (Islamabad, FCT), injuring him with a blade.",0,,1721763518
PAK142048,"21 May 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Pakistan)",,"Political militia","Civilians (Pakistan)","Journalists (Pakistan)",Civilians,"Political militia-Civilians","Civilian targeting",586,"South Asia",Pakistan,Sindh,Thatta,"Mirpur Sakro","Mirpur Sakro",24.5469,67.6279,1,"Daily Regional Times (Pakistan)",National,"On 21 May 2024, 2 unidentified armed men shot and killed a journalist in Mirpur Sakro town (Thatta, Sindh).",1,,1721763518
PAK142043,"21 May 2024",2024,1,"Political violence","Violence against civilians",Attack,"TTP: Tehreek-i-Taliban Pakistan",,"Rebel group","Civilians (Pakistan)","Government of Pakistan (2022-); Private Security Forces (Pakistan)",Civilians,"Rebel group-Civilians","Civilian targeting",586,"South Asia",Pakistan,"Khyber Pakhtunkhwa","Dera Ismail Khan",Kulachi,Kulachi,31.9286,70.4592,1,"Khorasan Diary; South Asia Terrorism Portal","Other-New media","On 21 May 2024, a personal security guard of a provincial assembly member was found killed by militants (coded as TTP) in Kulachi town (Dera Ismail Khan, KPK). The guard had been abducted by militants on 13 May 2024 (coded separately), under suspicion of spying on them.",1,,1724177763
PAK142030,"21 May 2024",2024,1,"Political violence",Battles,"Armed clash","BLF: Baloch Liberation Front",,"Rebel group","Military Forces of Pakistan (2022-)",,"State forces","State forces-Rebel group",,586,"South Asia",Pakistan,Balochistan,Khuzdar,Zehri,Mishk,28.4278,66.8452,2,"Balochistan Post",Subnational,"On 21 May 2024, BLF militants attacked military personnel at a check post in Mishk area (Khuzdar, Balochistan) with heavy weapons. There were no casualties.",2,,1726592187
PAK142029,"21 May 2024",2024,1,"Political violence",Battles,"Armed clash","BLF: Baloch Liberation Front",,"Rebel group","Military Forces of Pakistan (2022-)",,"State forces","State forces-Rebel group",,586,"South Asia",Pakistan,Balochistan,Kech,Tump,Tump,26.099,62.364,2,"Balochistan Post",Subnational,"On 21 May 2024, BLF militants attacked military personnel at a check post in Tump area (Kech, Balochistan) with heavy weapons. There were no casualties.On 21 May 2024, BLA militants conducted an attack against military personnel at a check post in Mishk area (Khuzdar, Balochistan) using heavy weapons. BLA claim two military personnel were killed and three others were injured. 2 fatalities with FP 2.",2,,1729632803
PAK142038,"21 May 2024",2024,1,"Political violence","Violence against civilians",Attack,"Islamic State Khorasan Province (ISKP)",,"Rebel group","Civilians (Pakistan)","Muslim Group (Pakistan)",Civilians,"Rebel group-Civilians","Civilian targeting",586,"South Asia",Pakistan,"Khyber Pakhtunkhwa",Bannu,Bannu,Surani,33.0223,70.5957,1,"Khorasan Diary; South Asia Terrorism Portal","Other-New media","On 21 May 2024, assailants (likely ISKP, due to past attacks against Muslim clerics) shot dead a local cleric and wounded another individual accompanying him in Nurur Village (Bannu, KPK). 1 fatality and 1 wounded.",1,,1730228611
PAK142034,"21 May 2024",2024,1,"Political violence","Violence against civilians",Attack,"Baloch Separatists (Pakistan)",,"Rebel group","Civilians (Pakistan)","Police Forces of Pakistan (2022-) Anti-Terrorist Force",Civilians,"Rebel group-Civilians","Civilian targeting",586,"South Asia",Pakistan,Balochistan,Jaffarabad,"Jhat Pat","Dera Allah Yar",28.3747,68.3503,1,"Dawn (Pakistan); South Asia Terrorism Portal",Other-National,"On 21 May 2024, militants (coded as Baloch Separatists) on motorcycle opened fire and killed an Anti-Terrorist Force (ATF) personnel (off-duty) in Dera Allah Yar town (Jaffarabad, Balochistan) when the personnel was on his way home. 1 fatality.",1,,1730835690
PAK142044,"21 May 2024",2024,1,"Political violence","Violence against civilians",Attack,"TTP: Tehreek-i-Taliban Pakistan",,"Rebel group","Civilians (Pakistan)","NDM: National Democratic Movement",Civilians,"Rebel group-Civilians","Civilian targeting",586,"South Asia",Pakistan,"Khyber Pakhtunkhwa","North Waziristan","Mir Ali",Tappi,32.9474,70.1478,1,"Dawn (Pakistan); Khorasan Diary; South Asia Terrorism Portal","Other-New media","On 21 May 2024, militants (coded as TTP) shot dead an NDM social media activist in Tappi village (North Waziristan, KPK). The individual also ran a Facebook news page on Waziristan. NDM has been previously targeted by TTP militants. 1 fatality.",1,,1741139787
PAK142022,"21 May 2024",2024,1,"Political violence",Battles,"Armed clash","Baloch Separatists (Pakistan)",,"Rebel group","Police Forces of Pakistan (2022-) Balochistan Levies",,"State forces","State forces-Rebel group",,586,"South Asia",Pakistan,Balochistan,Panjgur,Panjgur,Panjgur,26.9817,64.1166,2,"Dawn (Pakistan); South Asia Terrorism Portal",Other-National,"On 21 May 2024, around 20 armed assailants (coded as Baloch Separatists) attacked the Phalabad check post near Panjgur town (Panjgur, Balochistan), making five Levies Force personnel hostage, snatching their official weapons, mobile phones, a vehicle, and a motorcycle, and fleeing after locking them in a room.",0,,1745445451
PAK142021,"20 May 2024",2024,1,"Political violence","Violence against civilians","Abduction/forced disappearance","Military Forces of Pakistan (2022-)",,"State forces","Civilians (Pakistan)","JSSF: Jeay Sindh Students' Federation; Sindhi Ethnic Group (Pakistan); Students (Pakistan)",Civilians,"State forces-Civilians","Civilian targeting",586,"South Asia",Pakistan,Sindh,Jamshoro,Kotri,Petaro,25.5272,68.329,1,"Balochistan Post; Sangar Publication",National,"On 20 May 2024, military forces abducted and forcibly disappeared the JSSF president of Sindh University from a toll plaza of a military cantonment in Petaro town (Jamshoro, Sindh).",0,,1716919069
PAK142033,"20 May 2024",2024,1,"Political violence","Violence against civilians",Attack,"ASWJ: Ahle Sunnat Wal Jamaat","Sunni Muslim Militia (Pakistan)","Political militia","Civilians (Pakistan)","Shiite Muslim Group (Pakistan)",Civilians,"Political militia-Civilians","Civilian targeting",586,"South Asia",Pakistan,Sindh,"Karachi City",,Karachi,24.9056,67.0822,1,"Khorasan Diary; South Asia Terrorism Portal","Other-New media","On 20 May 2024, assailants (likely ASWJ, due to recurring sectarian attacks against Shias in the area) on motorcycle opened fire and wounded a Shia trustee of the Ali Raza Imambargah (Shia congregation hall) in Samanabad Ancholi area of Karachi city (Karachi, Sindh) in a suspected sectarian-motivated attack. 1 injured.",0,,1716919070
PAK142042,"20 May 2024",2024,1,"Political violence","Violence against civilians",Attack,"TTP: Tehreek-i-Taliban Pakistan",,"Rebel group","Civilians (Pakistan)","Police Forces of Pakistan (2022-)",Civilians,"Rebel group-Civilians","Civilian targeting",586,"South Asia",Pakistan,"Khyber Pakhtunkhwa","Dera Ismail Khan","Dera Ismail Khan",Yarik,32.104,70.792,2,"Khorasan Diary; South Asia Terrorism Portal","Other-New media","On 20 May 2024, militants (coded as TTP) on motorcycle opened fire and wounded a police station house officer (likely off-duty since he was on his way to the police station in his private car) at Sadra Shareef Road in Yarik area (Dera Ismail Khan, KPK). 1 injured.",0,,1716919070
PAK142053,"20 May 2024",2024,1,"Political violence","Explosions/Remote violence",Grenade,"TTP: Tehreek-i-Taliban Pakistan",,"Rebel group","Police Forces of Pakistan (2022-)",,"State forces","State forces-Rebel group",,586,"South Asia",Pakistan,"Khyber Pakhtunkhwa",Peshawar,Peshawar,Peshawar,34.0197,71.5822,1,"Dawn (Pakistan); Khorasan Diary; South Asia Terrorism Portal","Other-New media","On 20 May 2024, TTP militants hurled three grenades at the DHA police station in Peshawar city (Peshawar, KPK). Two of the grenades failed to explode, but the third one did, causing damage to the police station. There were no casualties.",0,,1716919070
PAK142219,"20 May 2024",2024,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","TTP: Tehreek-i-Taliban Pakistan",,"Rebel group","Civilians (Pakistan)",,Civilians,"Rebel group-Civilians","Civilian targeting",586,"South Asia",Pakistan,"Khyber Pakhtunkhwa",Khyber,"Landi Kotal","Landi Kotal",34.1138,71.1672,2,"Khorasan Diary; South Asia Terrorism Portal","Other-New media","On 20 May 2024, an explosive planted by militants (coded as TTP) detonated in front of local resident's house in Khoga Khel area of Landi Kotal tehsil (Khyber, Balochistan). Motive unclear. There were no casualties.",0,,1716919070
PAK142047,"20 May 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Pakistan)",,"Political militia","Civilians (Pakistan)","Shiite Muslim Group (Pakistan)",Civilians,"Political militia-Civilians","Civilian targeting",586,"South Asia",Pakistan,Sindh,"Karachi City","Karachi Central","Karachi - Gulberg",24.9433,67.071,1,"Dawn (Pakistan)",National,"On 20 May 2024, unidentified armed men on a motorbike shot and killed a custodian of an imambargah (place of islamic teachings in Shiite belief) Ancholi area in Karachi - Gulberg town (Karachi City, Sindh). It was a targeted attack.",1,,1721763518
PAK142049,"20 May 2024",2024,1,"Political violence","Explosions/Remote violence",Grenade,"TTP: Tehreek-i-Taliban Pakistan",,"Rebel group","Police Forces of Pakistan (2022-)",,"State forces","State forces-Rebel group",,586,"South Asia",Pakistan,"Khyber Pakhtunkhwa",Peshawar,Peshawar,"Nasir Bagh",34.0406,71.4326,2,"Balochistan Post; Dawn (Pakistan); Pakistan Institute for Conflict and Security Studies","Local partner-Other","On 20 May 2024, TTP militants hurled three hand grenades towards police personnel in Jumma Khan Khwarh area in Nasir Bagh (Peshawar, KPK) out of which one exploded. The militants fled the scene. There were no casualties.",0,,1730913921
PAK142041,"20 May 2024",2024,1,"Political violence","Violence against civilians",Attack,"TTP: Tehreek-i-Taliban Pakistan",,"Rebel group","Civilians (Pakistan)","Government of Pakistan (2022-)",Civilians,"Rebel group-Civilians","Civilian targeting",586,"South Asia",Pakistan,"Khyber Pakhtunkhwa",Bannu,Bannu,Bannu,32.9861,70.6074,2,"Khorasan Diary; South Asia Terrorism Portal","Other-New media","On 20 May 2024, assailants (coded as TTP) shot dead a custom agent official (Federal Bureau of Revenue) near CPEC Road in the vicinity of Bannu town (Bannu, KPK). Assailants also seized the individual's car, 1 million Pakistani rupees, a mobile phone, and a pistol. 1 fatality.",1,,1731445590
PAK142028,"20 May 2024",2024,1,"Political violence",Battles,"Armed clash","BLF: Baloch Liberation Front",,"Rebel group","Military Forces of Pakistan (2022-)",,"State forces","State forces-Rebel group",,586,"South Asia",Pakistan,Balochistan,Kech,Kech,Tijaban,26.0258,63.7178,2,"Balochistan Post; Sangar Publication",Subnational,"On 20 May 2024, BLF militants ambushed and opened fire on four vehicles, including a water tanker, belonging to military forces in Tijaban area (Kech, Balochistan) using assault weapons. The BLF claimed that 5 military personnel were killed and several others injured in the attack, while the vehicles sustained damage.",5,,1742930505
PAK142026,"19 May 2024",2024,1,"Political violence",Battles,"Armed clash","BLF: Baloch Liberation Front",,"Rebel group","Military Forces of Pakistan (2022-)",,"State forces","State forces-Rebel group",,586,"South Asia",Pakistan,Balochistan,Awaran,Awaran,Pirandar,26.4839,65.2835,2,"Balochistan Post; Sangar Publication",Subnational,"On 19 May 2024, BLF militants opened fire on military personnel in Pirandar area (Awaran, Balochistan) using a sniper rifle and assault weapons. BLF claims one military personnel was killed in the initial sniper attack, and another was wounded after BLF militants opened fire with assault weapons.",1,,1716919070
PAK142040,"19 May 2024",2024,2,"Political violence","Violence against civilians",Attack,"Police Forces of Pakistan (2022-) Frontier Corps",,"State forces","Civilians (Pakistan)","Baloch Ethnic Group (Pakistan)",Civilians,"State forces-Civilians","Civilian targeting",586,"South Asia",Pakistan,Balochistan,Kech,Buleda,Buleda,26.3091,63.1537,2,"Balochistan Post; Sangar Publication",Subnational,"Around 19 May 2024 (as reported), Frontier corps personnel were suspected to have opened indiscriminate firing on Baloch person in Gali Buleda area (Kech, Balochistan) over a duration of several days during the night. Residents later staged protest (coded separately).",0,,1721769311
PAK146423,"19 May 2024",2024,1,"Political violence",Battles,"Armed clash","Police Forces of Pakistan (2022-)",,"State forces","TTP: Tehreek-i-Taliban Pakistan",,"Rebel group","State forces-Rebel group",,586,"South Asia",Pakistan,"Khyber Pakhtunkhwa",Tank,Tank,Tank,32.2147,70.3773,2,"Dawn (Pakistan)",National,"On 19 May 2024, police forces exchanged fire and killed one TTP militant in Tank district (Tank, KPK). The militant is suspected to be part of a four-man squad responsible for the death of a police officer during a shootout on Murree Road in April 2024 (coded seperately).",1,,1730913923
PAK142017,"18 May 2024",2024,1,"Political violence","Violence against civilians","Abduction/forced disappearance","Military Forces of Pakistan (2022-)",,"State forces","Civilians (Pakistan)","Baloch Ethnic Group (Pakistan); Labor Group (Pakistan)",Civilians,"State forces-Civilians","Civilian targeting",586,"South Asia",Pakistan,Balochistan,Gwadar,Ormara,Ormara,25.2101,64.6362,1,"Sangar Publication",Subnational,"On 18 May 2024, military forces abducted and forcibly disappeared a Baloch person from Ormara city (Gwadar, Balochistan). The person, who worked as a water tanker driver, was taken while filling his tank with water.",0,,1716919069
PAK142039,"18 May 2024",2024,2,"Political violence","Violence against civilians",Attack,"Police Forces of Pakistan (2022-) Coast Guard",,"State forces","Civilians (Pakistan)","Fishers (Pakistan)",Civilians,"State forces-Civilians","Civilian targeting",586,"South Asia",Pakistan,Balochistan,Gwadar,Gwadar,Gwadar,25.1216,62.3254,2,"Balochistan Post; Sangar Publication",Subnational,"Around 18 May 2024 (as reported), coast guard personnel were suspected to have to 'tortured' and wounded two Baloch fisherman at sea near Gwadar city (Gwadar, Balochistan) for fishing in the night. Residents claimed coast guard personnel attacked to prevent fisherman from fishing at night. Residents later staged protest (coded separately).",0,,1716919070
PAK142221,"18 May 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","BLA: Baloch Liberation Army",,"Rebel group","Military Forces of Pakistan (2022-)",,"State forces","State forces-Rebel group",,586,"South Asia",Pakistan,Balochistan,Kech,Buleda,Alandur,26.281,63.0241,2,"Balochistan Post; Sangar Publication; South Asia Terrorism Portal",Other-Subnational,"On 18 May 2024, BLA militants fired several shells of grenade launchers at a military camp in Alandur area (Kech, Balochistan). There were no casualties.",0,,1721769311
