event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PAK151869,"09 May 2025",2025,1,"Political violence",Battles,"Armed clash","TTP: Tehreek-i-Taliban Pakistan",,"Rebel group","Military Forces of Pakistan (2022-)",,"State forces","State forces-Rebel group",,586,"South Asia",Pakistan,"Khyber Pakhtunkhwa","South Waziristan",Tiarza,"Shakai Valley",32.4824,69.6274,2,"Khorasan Diary; South Asia Terrorism Portal; Twitter","Other-New media","On 9 May 2025, TTP militants ambushed and opened fire at a vehicle carrying security personnel (coded as military) in Shakai Valley (South Waziristan, KPK), in a fire raid. Nine security military personnel and one TTP militant were killed and five other military personnel were injured. 10 fatalities and 5 injured.",10,,1747163737
PAK151900,"09 May 2025",2025,1,"Political violence","Violence against civilians",Attack,"Baloch Separatists (Pakistan)",,"Rebel group","Civilians (Pakistan)","Labor Group (Pakistan); Punjabi Ethnic Group (Pakistan)",Civilians,"Rebel group-Civilians","Civilian targeting",586,"South Asia",Pakistan,Balochistan,"Las Bela",Uthal,Uthal,25.8277,66.6227,1,"Dawn (Pakistan)",National,"On 9 May 2025, unidentified armed men (coded as Baloch Separatists) opened fire inside a hairdressing shop in Uthal town (Lasbela, Balochistan), killing three individuals, including two Punjabi shop-owners, and injuring two others, in a suspected ethnic-motivated attack. Baloch Separatist groups have often targeted target Punjabi civilians. 3 fatalities and 2 injured.",3,,1747163737
PAK151901,"09 May 2025",2025,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Pakistan)",,"Political militia","Civilians (Pakistan)","Baloch Ethnic Group (Pakistan); Tribal Group (Pakistan)",Civilians,"Political militia-Civilians","Civilian targeting",586,"South Asia",Pakistan,Balochistan,Kalat,Surab,Surab,28.4902,66.2636,1,"Dawn (Pakistan)",National,"On 9 May 2025, unidentified armed men opened fire and wounded five persons (likely Baloch based on location), including a tribal elder, inside their vehicle in Batgawaria are of Surab town (Surab, Balochistan). Exact motive behind attack remains unknown. 5 injured and no fatalities.",0,,1747163737
PAK151923,"09 May 2025",2025,1,"Political violence",Battles,"Armed clash","Baloch Separatists (Pakistan)",,"Rebel group","Military Forces of Pakistan (2022-)",,"State forces","State forces-Rebel group",,586,"South Asia",Pakistan,Balochistan,Kech,Tump,Kuhad,26.1276,62.4358,2,"Balochistan Post",Subnational,"On 9 May 2025, unidentified armed men (coded as Baloch Separatists) ambushed military forces engaged in an ongoing military operation in the Kuhad area (Kech, Balochistan). The attack is suspected to have resulted in an unspecified number of military casualties. Casualties unknown.",0,,1747163737
PAK151924,"09 May 2025",2025,1,"Political violence",Battles,"Armed clash","Baloch Separatists (Pakistan)",,"Rebel group","Military Forces of Pakistan (2022-)",,"State forces","State forces-Rebel group",,586,"South Asia",Pakistan,Balochistan,Kech,Kech,Turbat,26.0001,63.0527,2,"Balochistan Post",Subnational,"On 9 May 2025, unidentified armed men (coded as Baloch Separatists) attacked a military forces post along the China Pakistan Economic Corridor (CPEC) route in the rural area of Turbat tehsil (Kech, Balochistan). Multiple explosions and heavy gunfire were heard. Baloch regional sources claim that the forces suffered casualties and financial losses, though no official confirmation has been issued. Casualties unknown.",0,,1747163737
PAK151925,"09 May 2025",2025,1,"Political violence","Violence against civilians",Attack,"Baloch Separatists (Pakistan)",,"Rebel group","Civilians (Pakistan)","Labor Group (Pakistan)",Civilians,"Rebel group-Civilians","Civilian targeting",586,"South Asia",Pakistan,Balochistan,Mastung,Mastung,"Khad Koocha",29.6684,66.7797,2,"Balochistan Post",Subnational,"On 9 May 2025, unidentified armed persons (coded as Baloch Separatists) opened fire and targeted six vehicles transporting chromite and other minerals in the Khad Koocha area (Mastung, Balochistan). The vehicles were damaged by gunfire. There were no casualties.",0,,1747163737
PAK152082,"09 May 2025",2025,1,"Political violence",Battles,"Armed clash","Military Forces of India (2014-)","Police Forces of India (2014-) Border Security Force","External/Other forces","Military Forces of Pakistan (2022-)",,"State forces","State forces-External/Other forces",,586,"South Asia",Pakistan,"Azad Jammu and Kashmir",Poonch,Hajira,Tatrinote,33.7539,74.0027,1,"Dawn (Pakistan)",National,"On 9 May 2025, overnight, Indian forces (coded as military and BSF) engaged in artillery firing along the line of control (LoC) which was responded by military forces of Pakistan at Tatrinote town (Poonch district, AJK). At least 2 women were killed in the incident.",2,,1747163737
PAK152083,"09 May 2025",2025,1,"Political violence",Battles,"Armed clash","Military Forces of India (2014-)","Police Forces of India (2014-) Border Security Force","External/Other forces","Military Forces of Pakistan (2022-)",,"State forces","State forces-External/Other forces",,586,"South Asia",Pakistan,"Azad Jammu and Kashmir",Poonch,Hajira,Hajira,33.7667,73.8941,1,"Daily Times (Pakistan); Dawn (Pakistan)",National,"On 9 May 2025, overnight, Indian forces (coded as military and BSF) engaged in artillery firing along the line of control (LoC) which was responded by military forces of Pakistan at Hajira town (Poonch district, AJK). There were no casualties.",0,,1747163737
PAK152084,"09 May 2025",2025,1,"Political violence",Battles,"Armed clash","Military Forces of India (2014-)","Police Forces of India (2014-) Border Security Force","External/Other forces","Military Forces of Pakistan (2022-)",,"State forces","State forces-External/Other forces",,586,"South Asia",Pakistan,"Azad Jammu and Kashmir",Neelum,Athmuqam,Athmuqam,34.5883,73.9111,2,"Dawn (Pakistan)",National,"On 9 May 2025, overnight, Indian forces (coded as military and BSF) engaged in artillery firing along the line of control (LoC) which was responded by military forces of Pakistan at Neelum valley (coded as Athmuqam city, Neelum, AJK). There were no casualties.",0,,1747163737
PAK152087,"09 May 2025",2025,1,"Political violence",Battles,"Armed clash","Military Forces of India (2014-)","Police Forces of India (2014-) Border Security Force","External/Other forces","Military Forces of Pakistan (2022-)",,"State forces","State forces-External/Other forces",,586,"South Asia",Pakistan,"Azad Jammu and Kashmir",Neelum,Athmuqam,Kel,34.8269,74.3466,1,"Dawn (Pakistan)",National,"On 9 May 2025, overnight, Indian forces (coded as military and BSF) engaged in artillery firing along the line of control (LoC) which was responded by military forces of Pakistan at Kel town (Neelum district, AJK). One person was left injured in the shelling.",0,,1747163737
PAK152088,"09 May 2025",2025,1,"Political violence",Battles,"Armed clash","Military Forces of India (2014-)","Police Forces of India (2014-) Border Security Force","External/Other forces","Military Forces of Pakistan (2022-)",,"State forces","State forces-External/Other forces",,586,"South Asia",Pakistan,"Azad Jammu and Kashmir",Haveli,Haveli,Kahuta,33.8841,74.1083,1,"Daily Times (Pakistan); Dunya News",National,"On 9 May 2025, overnight, Indian forces (coded as military and BSF) engaged in artillery firing along the line of control (LoC) which was responded by military forces of Pakistan at Kahuta town (Haveli district, AJK). 5 persons were killed in firing at two locations - Kahuta and Khuiratta (coded separately) - and 7 persons were injured. 5 fatalities split across 2 events. 3 fatalities coded to this event.",3,,1747163737
PAK152089,"09 May 2025",2025,1,"Political violence",Battles,"Armed clash","Military Forces of India (2014-)","Police Forces of India (2014-) Border Security Force","External/Other forces","Military Forces of Pakistan (2022-)",,"State forces","State forces-External/Other forces",,586,"South Asia",Pakistan,"Azad Jammu and Kashmir",Kotli,Khuiratta,Khuiratta,33.3611,74.0207,1,"Daily Times (Pakistan); Dunya News",National,"On 9 May 2025, overnight, Indian forces (coded as military and BSF) engaged in artillery firing along the line of control (LoC) which was responded by military forces of Pakistan at Khuiratta town (Kotli district, AJK). 5 persons were killed in firing at two locations - Kahuta and Khuiratta (coded separately) - and 7 persons were injured. 5 fatalities split across 2 events. 3 fatalities coded to this event.",2,,1747163737
PAK152090,"09 May 2025",2025,1,"Political violence",Battles,"Armed clash","Military Forces of India (2014-)","Police Forces of India (2014-) Border Security Force","External/Other forces","Military Forces of Pakistan (2022-)",,"State forces","State forces-External/Other forces",,586,"South Asia",Pakistan,"Azad Jammu and Kashmir",Bhimber,Bhimber,Baghsar,33.0444,74.199,1,"Daily Times (Pakistan); Dunya News; Twitter","New media-National","On 9 May 2025, Indian forces (coded as military and BSF) engaged in artillery firing along the line of control (LoC) which was responded by military forces of Pakistan at Baghsar town (Bhimber district, AJK). Pakistani army also shot down an Indian quadcopter drone. There were no casualties.",0,,1747163737
PAK152091,"09 May 2025",2025,1,"Political violence",Battles,"Armed clash","Military Forces of India (2014-)","Police Forces of India (2014-) Border Security Force","External/Other forces","Military Forces of Pakistan (2022-)",,"State forces","State forces-External/Other forces",,586,"South Asia",Pakistan,"Azad Jammu and Kashmir",Poonch,Hajira,Hajira,33.7667,73.8941,2,"Dunya News",National,"On 9 May 2025, overnight, Indian forces (coded as military and BSF) engaged in artillery firing along the line of control (LoC) which was responded by military forces of Pakistan) at Hajira area (Poonch district, AJK). 3 civilians were injured.",0,,1747163737
PAK152093,"09 May 2025",2025,1,"Political violence",Battles,"Armed clash","Police Forces of Pakistan (2022-) Pakistan Rangers","Unidentified Armed Group (Pakistan)","State forces","Police Forces of India (2014-) Border Security Force",,"External/Other forces","State forces-External/Other forces",,586,"South Asia",Pakistan,Punjab,Sialkot,Sialkot,Looni,32.8035,74.666,1,"Chandigarh Tribune",Regional,"On 9 May 2025, Pakistan Rangers engaged in firing against a BSF post who retaliated along with targeting a claimed militant launchpad at Looni town (Sialkot district, Punjab). There were no casualties.",0,,1747163737
PAK151930,"08 May 2025",2025,1,"Political violence",Battles,"Armed clash","BLF: Baloch Liberation Front",,"Rebel group","Military Forces of Pakistan (2022-)",,"State forces","State forces-Rebel group",,586,"South Asia",Pakistan,Balochistan,Kech,Kech,Kolwa,26.0349,64.2883,2,"Sangar Publication",Subnational,"On 8 May 2025, BLF militants carried out a sniper attack on military post in the Madag Kalat area of Kolwah tehsil (Kech, Balochistan). BLF claim one military personnel was killed in the attack. Fatality uncorroborated with 1 fatality coded.",1,,1747158579
PAK151868,"08 May 2025",2025,1,"Political violence","Violence against civilians",Attack,"BLF: Baloch Liberation Front",,"Rebel group","Civilians (Pakistan)","Military Forces of Pakistan (2022-); Punjabi Ethnic Group (Pakistan)",Civilians,"Rebel group-Civilians","Civilian targeting",586,"South Asia",Pakistan,Balochistan,Chagai,Dalbandin,Chagai,28.9876,63.5908,2,"Balochistan Post; Khorasan Diary; Sangar Publication; South Asia Terrorism Portal","Other-New media","On 8 May 2025, BLF militants shot dead two Air Force personnel (coded as military) in Chagai district (Chagai, Balochistan), when the individuals were off-duty and on the way to the market. The deceased were corporal-ranked non-commissioned employees, and belonged to the Punjabi ethnic group. 2 fatalities.",2,,1747163737
